source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Huffingtonpost.es'}",Redacción HuffPost,España dirige el submarino del hidrógeno 'infinito' a India,"<![CDATA[<p>España y, más concretamente, Navantia están peleando por hacerse con un megacontrato con la constructora india Larsen & Toubro. Un acuerdo para construir seis submarinos convencionales.wf_cms.rss.read_more]]>",https://www.huffingtonpost.es/sociedad/espana-dirige-submarino-hidrogeno-infinito-india.html,https://img.huffingtonpost.es/files/og_thumbnail/uploads/2024/03/15/submarino-s-81.jpeg,2024-03-15T08:35:26Z,"España y, más concretamente, Navantia están peleando por hacerse con un megacontrato con la constructora india Larsen &amp; Toubro. Un acuerdo para construir seis submarinos convencionales.
Todos el… [+1616 chars]"
"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,LT Technology Services rises 2% on Rs 800-cr cybersecurity contract from Maharashtra,The project involves creating an advanced cybersecurity system and setting up a Cybersecurity and Cybercrime Prevention Center.,https://www.moneycontrol.com/news/business/lt-technology-services-rises-2-on-rs-800-cr-cybersecurity-contract-from-maharashtra-12464871.html,https://images.moneycontrol.com/static-mcnews/2021/01/LT-technologies-services-770x433.jpg,2024-03-15T07:02:02Z,"Shares of Larsen and Toubro Technology Services advanced over 2 percent to Rs 5,385 on March 15 after the company won a Rs 800-crore order to provide advanced cyber security solutions for the state, … [+1796 chars]"
"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol Hindi,"Electoral Bonds: मेघा इंजीनियरिंग और Future Gaming ने दिए सबसे ज्यादा डोनेशन, इन कंपनियों की हिस्ट्री जान चौंक जाएंगे आप",इलेक्टोरल बॉन्ड्स (Electoral Bonds) खरीदने वाली कंपनियों की सूची में दो नाम सबसे ऊपर हैं। हैदराबाद की Megha Engineering and Infrastructure (MEIL) ने इलेक्टोरल बॉन्ड्स के जरिए 980 करोड़ रुपये का डोनेशन दिया है। कोयंबतूर की लॉटरी और गेमिंग कंपनी Future Gaming a…,https://hindi.moneycontrol.com/news/markets/megha-engineering-and-future-gaming-are-top-buyers-of-electoral-bonds-you-will-be-surprised-to-know-their-history-santiago-martin-1851071.html,https://images.moneycontrol.com/static-hindinews/2024/03/santiago-martin-770x433.jpg,2024-03-15T06:59:27Z,"(Electoral Bonds) Megha Engineering and Infrastructure (MEIL) 980 Future Gaming and Hotel Services 1,368 2,348 2019 2024 14 State Bank of India 
MEIL 2023 Larsen &amp; Toubro (L&amp;T) 14,400 2018 T… [+123 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETtech,LTTS bags $100 million cybersecurity project from Maharashtra government,"Mid-sized IT firm L&T Technology Services (LTTS) will establish an AI, ML-driven cybersecurity & digital threat analytics centre for Maharashtra Cyber, a nodal agency for the state's cyber security and investigation, to enhance citizen cyber safety and awaren…",https://economictimes.indiatimes.com/tech/information-tech/ltts-bags-100-million-cyber-security-project-from-maharashtra-government/articleshow/108515601.cms,"https://img.etimg.com/thumb/msid-108515904,width-1200,height-630,imgsize-1378483,overlay-ettech/photo.jpg",2024-03-15T06:52:17Z,Mid-sized engineering and technology services firm L&amp;T Technology Services (LTTS) on Friday said it has won a $100 million (around Rs 800 crore) cyber security project from the Maharashtra State … [+2326 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: FMCG stocks down as market falls,The 30-share BSE Sensex was  down  582.77 points at 72514.51,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-down-as-market-falls/articleshow/108514067.cms,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",2024-03-15T05:55:58Z,"NEW DELHI: FMCG stocks were trading lower on Friday at 11:25AM ADF Foods Ltd.(up 1.28%), Britannia Industries Ltd.(up 1.15%), Mrs. Bectors Food Specialities Ltd.(up 0.80%), Hindustan Foods Ltd.(up 0.… [+1425 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Buy Larsen & Toubro, target price Rs 3760: Prabhudas Lilladher","Larsen & Toubro Ltd., incorporated in the year 1946, is a Large Cap company (having a market cap of Rs 488026.51 Crore) operating in Construction sector.",https://economictimes.indiatimes.com/markets/stocks/recos/buy-larsen-amp-toubro-target-price-rs-3760-prabhudas-lilladher/articleshow/108512390.cms,"https://img.etimg.com/thumb/msid-108512409,width-1200,height-630,imgsize-477423,overlay-etmarkets/photo.jpg",2024-03-15T04:59:35Z,"Prabhudas Lilladher has buy call on Larsen &amp; Toubro with a target price of Rs 3760. The current market price of Larsen &amp; Toubro is Rs 3551.55.Larsen &amp; Toubro Ltd., incorporated in the yea… [+934 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Mining stocks down as market falls,The 30-share BSE Sensex was  down  453.31 points at 72643.97,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/108511691.cms,"https://img.etimg.com/thumb/msid-77922857,width-1200,height-630,imgsize-132855,overlay-etmarkets/photo.jpg",2024-03-15T04:39:19Z,"NEW DELHI: Mining stocks were trading lower on Friday at 10:09AM Aro Granite Industries Ltd.(up 12.44%), Madhav Marbles &amp; Granites Ltd.(up 2.18%), Lexus Granito(India)Ltd.(up 1.71%), Oriental Tri… [+1422 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Fertilisers stocks down as market falls,The 30-share BSE Sensex was  down  419.19 points at 72678.09,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-falls/articleshow/108511543.cms,"https://img.etimg.com/thumb/msid-82267819,width-1200,height-630,imgsize-142669,overlay-etmarkets/photo.jpg",2024-03-15T04:34:07Z,"NEW DELHI: Fertilisers stocks were trading lower on Friday at 10:04AM Sikko Industries Ltd.(up 4.95%), Nagarjuna Fertilizers and Chemicals Ltd.(up 4.09%), Gujarat Narmada Valley Fertilizers &amp; Che… [+1570 chars]"
"{'id': None, 'name': 'Livemint'}",Livemint,Electoral bonds data: Who is behind Megha Engineering? Telangana firm that donated over 960 crore to political parties,"ELectoral bonds data: Megha Engineering and infrastructure (MEIL) is a Telangana-based industrial conglomerate, established in 1989 as Megha Engineering Enterprises by Pamireddy Pitchi Reddy.",https://www.livemint.com/companies/news/sbi-electoral-bonds-data-who-is-behind-meil-telangana-firm-megha-engineering-and-infrastructure-pp-reddy-11710465041007.html,https://www.livemint.com/lm-img/img/2024/03/15/1600x900/megha_engineering_1710473987680_1710473993209.jpg,2024-03-15T03:44:11Z,The Election Commission of India on Thursday released the data on electoral bonds that the State Bank of India (SBI) shared with the electoral panel body on 12 March. The Election Commission of India… [+3900 chars]
"{'id': 'financial-post', 'name': 'Financial Post'}",Business Wire,L&T Technology Services (LTTS) Secures Landmark ∼$100 Million Program in Cybersecurity,"LTTS to establish AI, ML-driven Cybersecurity & Digital Threat Analytics Centre for Maharashtra Cyber, enhancing citizen cyber safety and awareness. BANGALORE, India — L&T Technology Services Limited (LTTS) (BSE: 540115, NSE: LTTS), a leading global pure-play…",https://financialpost.com/pmn/business-wire-news-releases-pmn/lt-technology-services-ltts-secures-landmark-∼100-million-program-in-cybersecurity,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2024/03/bw20240314467779_lttsimage.jpeg,2024-03-15T03:22:26Z,"Article content
LTTS to establish AI, ML-driven Cybersecurity &amp; Digital Threat Analytics Centre for Maharashtra Cyber, enhancing citizen cyber safety and awareness.
BANGALORE, India L&amp;T Tec… [+7094 chars]"
"{'id': None, 'name': 'Marketscreener.com'}",,L&T Technology Services (LTTS) Secures Landmark ∼$100 Million Program in Cybersecurity,"(marketscreener.com) 
LTTS to establish AI, ML-driven Cybersecurity & Digital Threat Analytics Centre for Maharashtra Cyber, enhancing citizen cyber safety and awareness.

https://www.marketscreener.com/quote/stock/L-T-TECHNOLOGY-SERVICES-L-31439537/news/L-T-…",https://www.marketscreener.com/quote/stock/L-T-TECHNOLOGY-SERVICES-L-31439537/news/L-T-Technology-Services-LTTS-Secures-Landmark-100-Million-Program-in-Cybersecurity-46203775/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2024-03-15T03:16:01Z,"LTTS to establish AI, ML-driven Cybersecurity &amp; Digital Threat Analytics Centre for Maharashtra Cyber, enhancing citizen cyber safety and awareness.
L&amp;T Technology Services Limited (LTTS) (B… [+4784 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Economic Times,Larsen & Toubro Share Price Today Live Updates: Larsen & Toubro Closes at Rs 3608.2 with 9.33% 1-Month Return,"Stay updated with the Larsen & Toubro Stock Liveblog, your one-stop destination for real-time information and analysis of a leading stock. Explore the latest updates on Larsen & Toubro stock, including: Last traded price 3598.0, Market capitalization: 495964.…",https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/larsen-toubro-share-price-today-live-updates-15-mar-2024/liveblog/108509126.cms,"https://economictimes.indiatimes.com/thumb/msid-108509126,width-600,resizemode-4,imglength-14376/markets/stocks/stock-liveblog/larsen-toubro-share-price-today-live-updates-15-mar-2024.jpg",2024-03-15T03:00:20Z,"Voltas beko 8 Place Settings Table Top Dishwasher (2020/2021, DT8S, Silver, Inbuilt Heater)
Buy Now"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Stocks in news: Paytm, Vedanta, IIFL Finance, RIL, Blue Star","Vedanta's plan to demerge its businesses into separate entities could face hurdles from its minority shareholders and creditors, according to a Fitch Solutions report.",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-paytm-vedanta-iifl-finance-ril-blue-star/articleshow/108501383.cms,"https://img.etimg.com/thumb/msid-108501375,width-1200,height-630,imgsize-88221,overlay-etmarkets/photo.jpg",2024-03-15T00:31:00Z,"Following Wednesday's sell-off, the bulls staged a strong comeback on Thursday, particularly noticeable in the broader markets, which had been under significant pressure in recent sessions. In today'… [+1782 chars]"
